longitude,latitude,count
-3.632987,48.657458,2
-3.631332,47.812168,2
-3.625437,48.66224,4
-3.623005,47.958649,2
-3.606926,48.139136,2
-3.605561,47.857525,2
-3.605536,48.566917,2
-3.60098,48.141,2
-3.600977,48.141016,2
-3.592202,47.871223,2
-3.59151659,48.53489716,4
-3.588706,47.868991,5
-3.586496,47.795624,2
-3.584976,47.868935,4
-3.583797,48.515305,2
-3.582887,47.900269,2
-3.582516,48.72444,2
-3.58243,47.86667,2
-3.582412,47.86668,2
-3.577855,48.771084,2
-3.576228,48.277264,2
-3.5708464629851,48.270623883026,4
-3.567519,48.683102,2
-3.567354,47.870128,2
-3.562329,48.284034,2
-3.559864,48.282784,6
-3.558382,47.770019,2
-3.555303,47.879872,6
-3.5540874821396,48.277567154069,5
-3.552851,47.871124,2
-3.552238,47.868786,2
-3.54979,47.766685,2
-3.546339,47.874336,2
-3.545124,47.768519,2
-3.539367,48.275612,2
-3.536914,47.959827,2
-3.530413,47.862077,2
-3.526174,47.772376,2
-3.52617,47.7724,2
-3.523392,48.679855,2
-3.521428,48.460747,2
