code_geo,latitude,longitude,city_code,zip_code,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP
87094,45.711582305,1.157480022,meilhac,87800,38,0,4182
87095,45.553533336,1.416951808,meuzac,87380,38,0,6818
87096,45.607760174,1.194506501,la meyze,87800,20,0,4141
87097,46.089883138,0.8912586490000001,val d issoire,87330,52,0,13162
87099,45.874218036,1.5558637860000002,moissannes,87400,18,0,1837
87100,46.017202659,0.952984177,montrol senard,87330,6,0,1915
87101,46.047713651,0.954897176,mortemart,87330,1,0,570
87103,46.011402879,1.173814128,nantiat,87140,152,0,17162
87104,45.720951034,1.826388111,nedde,87120,24,6,3767
87105,45.737053207,1.639309683,neuvic entier,87130,16,0,2236
87106,45.675236842,1.185857393,nexon,87800,206,0,20291
87107,45.920928977,1.179975053,nieul,87510,95,0,11850
87108,46.061912478,0.915326789,nouic,87330,6,0,2266
87109,46.242697091,1.01954088,oradour st genest,87210,9,0,3706
87110,45.931346553,1.023441376,oradour sur glane,87520,168,0,16191
87111,45.741229865,0.87942072,oradour sur vayres,87150,78,0,9041
87112,45.682316983,1.016897507,pageas,87230,20,0,3006
87113,45.873568274,1.324539127,le palais sur vienne,87410,589,0,50131
87114,45.841078802,1.323521399,panazol,87350,506,0,52919
87115,45.600185841,0.827453156,pensol,87440,5,0,470
87116,46.13115773,1.020143635,peyrat de bellac,87300,19,0,3862
87117,45.808283352,1.7823407910000002,peyrat le chateau,87470,46,0,5694
87118,45.962075484,1.120929912,peyrilhac,87510,33,0,9127
87119,45.691333404,1.360987749,pierre buffiere,87260,63,0,7918
87120,45.576015221,1.546805149,la porcherie,87380,5,0,1337
87121,46.129001563,1.180409853,rancon,87290,54,0,3410
87122,46.037223965,1.340766462,razes,87640,78,0,8302
87123,45.685051774,1.864710096,rempnat,87120,0,0,586
87124,45.658696805,1.113754726,rilhac lastours,87800,4,0,895
87125,45.907641302,1.332451691,rilhac rancon,87570,479,0,29577
87126,45.82326615,0.842639573,rochechouart,87600,162,0,24704
87127,45.593874028,1.258503424,la roche l abeille,87800,21,0,2279
87128,46.062684847,1.243158055,st pardoux le lac,87140,264,0,34989
87129,45.851474698,1.434519337,royeres,87400,60,0,5132
87130,45.743445308,1.5608803,roziers st georges,87130,5,0,1238
87131,45.870971349,0.8337387390000001,saillat sur vienne,87720,8,0,1892
87132,45.769614975,1.768286072,st amand le petit,87120,3,0,465
87133,46.184404034,1.357969432,st amand magnazeix,87290,5,0,1737
87134,45.697729442,1.683538833,ste anne st priest,87120,17,0,1170
87135,45.810651583,0.92123117,st auvent,87310,77,0,6496
87137,45.73431371,0.806854414,st bazile,87150,0,0,1064
87138,45.715976553,1.484435047,st bonnet briance,87260,11,0,4017
87139,46.163075967,0.938475049,st bonnet de bellac,87300,25,0,3202
87140,45.902666142,0.963776963,st brice sur vienne,87200,123,0,9140
87141,45.802096773,0.981234036,st cyr,87310,20,5,4280
87142,45.779669533,1.529636352,st denis des murs,87400,12,0,2201
87143,45.909737854,1.139398529,st gence,87510,207,0,14047
87144,45.700355564,1.4247312170000002,st genest sur roselle,87260,37,0,4014
87145,46.36072396,1.348250993,st georges les landes,87160,0,0,1404
87146,45.605101802,1.486040377,st germain les belles,87380,21,0,5271
87147,45.629136953,1.6667663,st gilles les forets,87130,0,0,184
87148,45.721867231,1.367426685,st hilaire bonneval,87260,34,0,3244
87149,46.248903254,1.310610386,st hilaire la treille,87190,20,0,2866
87150,45.636624848,1.152876484,st hilaire les places,87800,52,0,6154
87151,45.690304717,1.308449638,st jean ligoure,87260,41,0,2213
87152,45.956368365,1.209549771,st jouvent,87510,90,0,11691
87153,45.822524624,1.705512434,st julien le petit,87460,29,0,3371
87154,45.902364771,0.88871314,st junien,87200,796,2,80724
87155,46.085885606,1.134175727,st junien les combes,87300,8,0,811
87156,45.852635886,1.386735642,st just le martel,87590,378,0,21009
87157,45.963742514,1.475239721,st laurent les eglises,87240,21,0,5414
87158,45.768226173,0.973417258,st laurent sur gorre,87310,49,0,10544
87159,46.030700029,1.42549139,st leger la montagne,87340,9,0,1315
87160,46.288124444,1.238281358,st leger magnazeix,87190,3,0,2269
87161,45.841062304,1.495763033,st leonard de noblat,87400,208,0,24802
87162,45.862877751,1.040740719,ste marie de vaux,87420,16,0,1201
87163,46.153715582,0.8732280290000001,st martial sur isop,87330,6,0,752
87164,45.861090997,0.943901331,st martin de jussac,87200,16,0,2039
87165,46.36110712,1.215770682,st martin le mault,87360,6,0,931
87166,45.750734974,1.118723114,st martin le vieux,87700,86,0,6138
87167,45.914604648,1.460091346,st martin terressus,87400,27,0,2780
87168,45.705764924,0.7711437999999999,st mathieu,87440,87,0,8145
87169,45.700287694,1.241588201,st maurice les brousses,87800,103,0,7737
87170,45.664353924,1.543033187,st meard,87130,1,0,793
87172,46.173171543,1.079085108,st ouen sur gartempe,87300,2,0,528
87174,45.752625216,1.441895263,st paul,87260,77,0,7230
87176,45.626103735,1.300339612,st priest ligoure,87800,55,0,5158
87177,45.820354834,1.083848604,st priest sous aixe,87700,81,0,9679
87178,45.897647476,1.396120803,st priest taurion,87480,261,0,23176
87179,46.19051314,0.992236389,st sornin la marche,87210,16,0,2068
87180,46.196200294,1.29747658,st sornin leulac,87290,74,0,10002
87181,46.05567135,1.477377422,st sulpice lauriere,87370,19,0,2887
87182,46.315785738,1.392331305,st sulpice les feuilles,87160,48,0,7193
87183,45.994521586,1.365303089,st sylvestre,87240,42,0,4365
87185,45.880666828,1.024828615,st victurnien,87420,117,0,11982
87186,45.625044208,1.538821712,st vitte sur briance,87380,11,0,1638
87187,45.524958393,1.204043504,st yrieix la perche,87500,498,7,52827
87188,45.850662779,1.064153622,st yrieix sous aixe,87700,12,0,1944
87189,45.743837307,0.693847239,les salles lavauguyon,87440,1,0,200
87190,45.906625591,1.587782437,sauviat sur vige,87400,35,0,5095
87191,45.765936703,1.059953504,sereilhac,87620,102,0,13228
87192,45.754283206,1.257177433,solignac,87110,65,0,5218
87193,45.60516924,1.649579367,surdoux,87130,0,0,229
87194,45.657852763,1.652037873,sussac,87130,7,0,2350
